,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2022-06-17,1.0301388368564286,0.9622429804566489,1.0299227620181037,0.9706551319598665,0.9691828817224148,1.0126981332611458
2022-06-21,1.0397746768673397,0.9626717569081953,1.03955187239395,0.9833011001495296,0.973212377343396,1.0216185328172167
2022-06-22,1.0354315226649649,0.9649299892853737,1.035212793157968,0.9872032298202794,0.9731118336000077,1.0151974428348742
2022-06-23,1.036757104355166,0.9670082480708417,1.0365377337216486,0.9952393001942857,0.9767346372808848,1.0133429617191048
2022-06-24,1.0532622395192857,0.9706724414011745,1.0530334930141674,1.0128130985929111,0.9854302637824246,1.0265805419149328
2022-07-05,1.0401914440669047,0.9639610786127257,1.0399661293317055,1.015451815366988,0.978485947802534,1.0050761441685412
2022-07-06,1.0371176767278236,0.9595828453616427,1.0368916816367861,1.014060174341155,0.9772922208262493,1.001592196548477
2022-07-07,1.050375380520727,0.9634604946954436,1.0501412758569841,1.0206855009956162,0.9831256276346897,1.0120102359937175
2022-07-08,1.051089974790087,0.962689671157444,1.0508552816148995,1.017702580676057,0.9818366375374324,1.0150068928554377
2022-07-11,1.039266206637284,0.9613681653619968,1.0390410941502437,1.0139360540584945,0.9752280410807904,1.0126516248072117
2022-07-12,1.0323663340579303,0.9591224183185006,1.0321441889952903,1.0095042138727741,0.9739396219807797,1.0002477267754701
2022-07-13,1.0323122203019057,0.959967655841351,1.0320916082590952,1.008056207281217,0.973373102893464,1.000134700623372
2022-07-14,1.0222864163251217,0.9541544259098921,1.0220689750034466,1.0043553849024798,0.9649532773100045,0.9942158739573663
2022-07-15,1.0333764642866297,0.9597918734671413,1.0331542406914087,1.0172415265350314,0.9727305878338414,1.0021060301951563
2022-07-18,1.0351380899742453,0.9582039093593401,1.0349143316786575,1.0110139326788723,0.972264611048245,1.0073340837936235
2022-07-19,1.0512698124598732,0.9632969202529379,1.0510362864944487,1.025548702306696,0.9833748129342665,1.0153626809112584
2022-07-20,1.0499103175181799,0.9626934628774608,1.0496769052886612,1.029068003632923,0.9826821508186361,1.0114263386006141
2022-07-21,1.0573845032508684,0.9693327234012329,1.0571489008257646,1.0400423642266705,0.989212156166607,1.0130656697500628
2022-07-22,1.0540668223076413,0.9725419349231458,1.0538360407937244,1.0390166089615225,0.9920353718022504,1.0113821363663154
2022-07-25,1.0579075301472964,0.9721487680994867,1.0576734591914374,1.0382987824763203,0.9933420414010129,1.0168686292949687
2022-07-26,1.0508468649954332,0.9695791330940553,1.0506172367351878,1.0310882549417548,0.9884949437058289,1.0130931789065742
2022-07-27,1.0692906178605712,0.9767763980861947,1.0690511379186536,1.047985902062964,0.9989646809863614,1.0262137017016566
2022-07-28,1.0790986933790423,0.9839491553791366,1.0788567194173933,1.0600201309187691,1.0078355728921673,1.0300515930173297
2022-07-29,1.085743226533277,0.9866704364587194,1.0854985536572885,1.069453642598372,1.0128695224117146,1.035826690821779
2022-08-01,1.0838241514962341,0.9881584764949657,1.0835823057804737,1.0700555513638956,1.0133712979917007,1.0314216234534117
2022-08-02,1.0750357723522534,0.9813245865776066,1.0747955246804661,1.0599019161269403,1.0045352100192009,1.028584554878651
2022-08-10,1.0897864992279427,0.9879586445255919,1.0895379853118587,1.0735041791955198,1.01727286995825,1.0368841373654323
2022-08-11,1.0883030876017907,0.9849867584678236,1.0880534363988947,1.0706536116022687,1.0145839843639437,1.039486492659635
2022-08-12,1.0989925031901053,0.990485478348215,1.0987376203023647,1.0832291447674964,1.0225910470404818,1.0421300083259184
2022-08-15,1.0950568041366322,0.9885378157803424,1.094802649038832,1.0872867020372008,1.0217677434107832,1.0363235229066463
2022-08-16,1.0930456538637288,0.9867615114836186,1.0927919713294194,1.088062855760342,1.019832636210427,1.0337390222474345
2022-08-17,1.0860676558731912,0.9816918858016477,1.0858165064087877,1.0804958446827118,1.0142687622063427,1.032295160338959
2022-08-18,1.0861349273082985,0.9827865806632721,1.085884438312006,1.0832178670499102,1.013273683203239,1.0370826855122517
2022-08-19,1.0730729902575915,0.9755424890638965,1.0728279231438829,1.070753479608615,1.0029343868099438,1.0315347371819166
2022-08-22,1.0621767702813674,0.9703899955400929,1.0619377986148095,1.055495316402083,0.9947739540487184,1.0275649394440072
2022-08-23,1.0660733482081395,0.9731006486745737,1.0658327540598709,1.0529288540077844,0.9972332851427982,1.0340763944108855
2022-08-24,1.0679255593526873,0.9733149401001883,1.0676834510655289,1.0535442489866564,0.9972904999365465,1.0374344221647969
2022-08-25,1.0780262981736173,0.9777372898217583,1.0777782659758495,1.065168493895395,1.0048828589193,1.0368475761453193
